name,price,location,link,condition,cylinders,drive,fuel,odometer,paint color,title status,transmission,type,VIN,year,age,make,model
2014 Chevrolet Cruze LT,9995,Surrey,https://www.craigslist.org/view/d/surrey-2014-chevrolet-cruze-lt/f5pymwtjH83mq7mWs853FL,,,,gas,89640,,clean,automatic,sedan,,2014.0,12.0,Chevrolet,Cruze
2019 Honda Accord EX-L,26995,Surrey,https://www.craigslist.org/view/d/surrey-2019-honda-accord-ex/cnzaHZ4Brux7ZBGbUfe7m7,,,,gas,66100,,clean,automatic,sedan,,2019.0,7.0,Honda,Accord EX
2015 Hyundai Elantra,11995,Surrey,https://www.craigslist.org/view/d/surrey-2015-hyundai-elantra/7eQ76HpwZgvw6LFqejWJjR,,,,gas,64108,,clean,automatic,,,2015.0,11.0,Hyundai,Elantra
2018 Subaru BRZ Sport-Tech RS,16995,Surrey,https://www.craigslist.org/view/d/surrey-2018-subaru-brz-sport-tech-rs/nvwHFQucKDC6SRkU86B6X5,,,,gas,190877,,clean,automatic,coupe,,2018.0,8.0,Subaru,BRZ
2019 Ford Fusion Hybrid Titanium,18995,Surrey,https://www.craigslist.org/view/d/surrey-2019-ford-fusion-hybrid-titanium/pHSCgaFw4QGjpiskWeVfP4,,,,hybrid,133380,,clean,automatic,sedan,,2019.0,7.0,Ford,Fusion
2018 Audi A5 Sportback Technik S-Line,18995,Surrey,https://www.craigslist.org/view/d/surrey-2018-audi-a5-sportback-technik/cwhQHCiWkfXErYfQ7udUic,,,,gas,176461,,clean,automatic,,,2018.0,8.0,Audi,A5
2008 Acura RDX - 1 OWNER,12888,Surrey,https://www.craigslist.org/view/d/surrey-2008-acura-rdx-owner/odjjsDvAz72ptVTDbc79F8,,,,gas,127350,,clean,automatic,,,2008.0,18.0,Acura,RDX
2016 Jaguar XJ R-Sport,25995,Surrey,https://www.craigslist.org/view/d/surrey-2016-jaguar-xj-sport/2Twx4zJx6KtAT9V2GGG9Nd,,,,gas,56740,,clean,automatic,,,2016.0,10.0,Jaguar,XJ R-Sport
2014 BMW X3 xDrive28i,12995,Richmond,https://www.craigslist.org/view/d/richmond-2014-bmw-x3-xdrive28i/hkgERqxUJ9x2P76EGzEMBr,,,,gas,110200,,clean,automatic,,,2014.0,12.0,BMW,X3 xDrive28i
2019 Nissan Qashqai SV AWD,10995,Surrey,https://www.craigslist.org/view/d/surrey-2019-nissan-qashqai-sv-awd/no16H4rpt3q6f7PHaEzcfY,,,,gas,167304,,clean,automatic,,,2019.0,7.0,Nissan,Qashqai
2006 Honda Civic,9995,Surrey,https://www.craigslist.org/view/d/surrey-2006-honda-civic/d2oWCU7mpGGqK97q64aihy,,,,gas,134183,,clean,automatic,,,2006.0,20.0,Honda,Civic
2011 Volkswagen Tiguan SEL 4-motion,8495,Richmond,https://www.craigslist.org/view/d/richmond-2011-volkswagen-tiguan-sel/sq89YQEpcJTeAJPYNzGA4G,,,,gas,155753,,clean,automatic,,,2011.0,15.0,Volkswagen,Tiguan
2013 Ford Escape SE AWD,9988,Surrey,https://www.craigslist.org/view/d/richmond-2013-ford-escape-se-awd/fpe8A33xZKR575kec5YS1E,,,,gas,173017,,clean,automatic,SUV,,2013.0,13.0,Ford,Escape
