name,price,odometer,is_dealer,link,condition,fuel,paint color,title status,transmission,type,cylinders,drive,location,VIN,est. monthly pmt,year,age,make,model,City (L/100 km),Highway (L/100 km),Combined (L/100 km),market,km_per_year,usage_ratio,usage_category,annual_fuel_cost
2020 Nissan NV200 SV No Accidents Low Km,17950,78388.0,0,https://www.craigslist.org/view/d/burnaby-2020-nissan-nv200-sv-no/vbjL2QaTtogkxCi7xWctfe,excellent,gas,white,clean,automatic,van,4.0,fwd,Burnaby,,,2020.0,6.0,Nissan,,,,,Japanese,13064.7,0.87,Average,
1987 Volvo 240 Wagon,8000,428000.0,0,https://www.craigslist.org/view/d/delta-southeast-1987-volvo-240-wagon/aitG1ERtnE4dfQUXCPzxMa,excellent,gas,white,clean,manual,wagon,4.0,rwd,Delta,,,1987.0,39.0,Volvo,,,,,European,10974.4,0.73,Below Average,
2008 Toyota Tacoma,13000,303.0,0,https://www.craigslist.org/view/d/abbotsford-2008-toyota-tacoma/9Yc6rja5HsfyJqb6B8MXo2,,gas,,clean,automatic,pickup,,,Abbotsford,,,2008.0,18.0,Toyota,Tacoma,15.0,11.9,13.6,Japanese,16.8,0.0,Ultra Low/Weekend,3672.0
DODGE CHALLENGER 2021,19950,77000.0,0,https://www.craigslist.org/view/d/burnaby-dodge-challenger-2021/pfETngJiEUsLoCDK7pcLJS,excellent,gas,black,rebuilt,automatic,coupe,6.0,rwd,Burnaby,,,2021.0,5.0,Dodge,Challenger,12.6,8.25,10.65,American,15400.0,1.03,Average,2876.0
GMC ACADIA 2015,3950,108000.0,0,https://www.craigslist.org/view/d/burnaby-gmc-acadia-2015/qXBEE8XyuMksVzwd2W2E2k,good,gas,black,rebuilt,automatic,SUV,6.0,4wd,Burnaby,,,2015.0,11.0,GMC,Acadia,14.4,10.05,12.45,American,9818.2,0.65,Below Average,3362.0
SUBARU IMPREZZA 2017,9850,95000.0,0,https://www.craigslist.org/view/d/burnaby-subaru-imprezza-2017/3WAhUpftrAnZyUTznHvRXR,good,gas,white,rebuilt,automatic,hatchback,4.0,4wd,Burnaby,,,2017.0,9.0,Subaru,,,,,Japanese,10555.6,0.7,Below Average,
TOYOTA COROLLA 2017,8950,178000.0,0,https://www.craigslist.org/view/d/burnaby-toyota-corolla-2017/uneX1AcBY5ZJWA4BUqD2Dz,good,gas,blue,clean,automatic,sedan,4.0,fwd,Burnaby,,,2017.0,9.0,Toyota,Corolla,8.3,6.5,7.5,Japanese,19777.8,1.32,Above Average,2025.0
"2007 Ford E350 15 Passenger Van ONLY 57,845kms",32800,57845.0,0,https://www.craigslist.org/view/d/richmond-2007-ford-passenger-van-only/c8nDNJY7vV9RbAZwRonPMo,like new,gas,grey,clean,automatic,van,8.0,rwd,Richmond,,,2007.0,19.0,Ford,E350,,,,American,3044.5,0.2,Ultra Low/Weekend,
TOYOTA COROLLA 2005,3950,341000.0,0,https://www.craigslist.org/view/d/burnaby-toyota-corolla-2005/mj4xvyqbTWoEydFYhZk2aC,good,gas,grey,clean,automatic,sedan,4.0,fwd,Burnaby,,,2005.0,21.0,Toyota,Corolla,9.1,6.7,8.0,Japanese,16238.1,1.08,Average,2160.0
2018 Honda Accord TOURING EDITION,13950,171000.0,0,https://www.craigslist.org/view/d/burnaby-2018-honda-accord-touring/anMFednxUHFAYfSymJ6Miv,excellent,gas,grey,rebuilt,automatic,sedan,4.0,fwd,Burnaby,,,2018.0,8.0,Honda,Accord,8.2,6.7,7.6,Japanese,21375.0,1.42,Above Average,2052.0
2011 Toyota Sienna LE ALL WHEELS DRIVE,9850,124000.0,0,https://www.craigslist.org/view/d/burnaby-2011-toyota-sienna-le-all/r3p1gbdFKy4q8fi9oQBQ7W,excellent,gas,grey,clean,automatic,minivan,6.0,4wd,Burnaby,,,2011.0,15.0,Toyota,Sienna,13.7,10.1,12.1,Japanese,8266.7,0.55,Below Average,3267.0
2006 Infiniti QX56 4x4 PERFECT CONDITION,5950,260000.0,0,https://www.craigslist.org/view/d/burnaby-2006-infiniti-qx56-4x4-perfect/qfuquArL5fRuFpALLK5ehJ,excellent,gas,white,clean,automatic,,8.0,,Burnaby,,,2006.0,20.0,Infiniti,QX56,20.0,14.2,17.4,Japanese,13000.0,0.87,Average,4698.0
"2025 Hyubdai Elantra 18,000 KMS ONLY PERFECT CONDITION",15950,18000.0,0,https://www.craigslist.org/view/d/burnaby-2025-hyubdai-elantra-kms-only/e1HDHzpNPFqxCSoYovZv92,excellent,gas,white,rebuilt,automatic,sedan,4.0,fwd,Burnaby,,,2025.0,1.0,,,,,,,18000.0,1.2,Above Average,
2017 Ford Mustang 84k kms,14950,84000.0,0,https://www.craigslist.org/view/d/burnaby-2017-ford-mustang-84k-kms/kyB9mVCa9udhwUr6KswEe2,excellent,gas,black,rebuilt,automatic,coupe,6.0,rwd,Burnaby,,,2017.0,9.0,Ford,Mustang,13.3,8.850000000000001,11.3,American,9333.3,0.62,Below Average,3051.0
2009 Lexus ES350 PERFECT CONDITION,4950,142000.0,0,https://www.craigslist.org/view/d/burnaby-2009-lexus-es350-perfect/8fRbmJ6wxg6kpqiswuL2aq,excellent,gas,,clean,automatic,sedan,6.0,fwd,Burnaby,,,2009.0,17.0,Lexus,ES 350,12.3,8.6,10.6,Japanese,8352.9,0.56,Below Average,2862.0
2018 Honda Civic 177k kms,10950,177000.0,0,https://www.craigslist.org/view/d/burnaby-2018-honda-civic-177k-kms/wrk9ATeZ1nEeBjrTQyocnC,excellent,gas,blue,rebuilt,automatic,sedan,4.0,fwd,Burnaby,,,2018.0,8.0,Honda,Civic,7.9,6.05,7.2,Japanese,22125.0,1.48,Above Average,1944.0
"2022 Toyota Corolla LE 95,000 KMS   PERFECT PERFECT",14950,95000.0,0,https://www.craigslist.org/view/d/burnaby-2022-toyota-corolla-le-kms/2Njbv6iH4QrpZ8XEkMyQ4M,excellent,gas,blue,rebuilt,automatic,sedan,4.0,fwd,Burnaby,,,2022.0,4.0,Toyota,Corolla,7.9,6.0,7.1,Japanese,23750.0,1.58,Above Average,1917.0
2022 Toyota Corolla 84k kms,14950,84000.0,0,https://www.craigslist.org/view/d/burnaby-2022-toyota-corolla-84k-kms/e6yRV6A2J781dD1gFQ3xmw,excellent,gas,black,rebuilt,automatic,sedan,4.0,fwd,Burnaby,,,2022.0,4.0,Toyota,Corolla,7.9,6.0,7.1,Japanese,21000.0,1.4,Above Average,1917.0
2018 Kia Forte CLEAN TITLE,7950,151000.0,0,https://www.craigslist.org/view/d/burnaby-2018-kia-forte-clean-title/973goY95MNXUzcgBcQu7o1,excellent,gas,grey,clean,automatic,sedan,4.0,fwd,Burnaby,,,2018.0,8.0,Kia,Forte,9.4,6.8,8.3,Korean,18875.0,1.26,Above Average,2241.0
2018 Toyota Camry XLE PERFECT CONDITION,12950,203000.0,0,https://www.craigslist.org/view/d/burnaby-2018-toyota-camry-xle-perfect/5c3LVRTvKEFWk1hv3cy21a,excellent,gas,white,rebuilt,automatic,sedan,6.0,fwd,Burnaby,,,2018.0,8.0,Toyota,Camry,10.5,7.1,9.0,Japanese,25375.0,1.69,Highway/Heavy Commute,2430.0
2017 Ford Mustang 141k kms PERFECT CONDITION,14950,141000.0,0,https://www.craigslist.org/view/d/burnaby-2017-ford-mustang-141k-kms/hk1FjRUfo8QLbvBMLsYbRp,excellent,gas,black,rebuilt,automatic,sedan,6.0,fwd,Burnaby,,,2017.0,9.0,Ford,Mustang,13.3,8.850000000000001,11.3,American,15666.7,1.04,Average,3051.0
"2014 Infiniti QX80 108,000 kms RUNS PERFECT",10950,108000.0,0,https://www.craigslist.org/view/d/burnaby-2014-infiniti-qx-kms-runs/iubU32KPiYGpQqvBF3wNxF,excellent,gas,silver,rebuilt,automatic,SUV,8.0,4wd,Burnaby,,,2014.0,12.0,Infiniti,QX80,17.4,12.1,15.0,Japanese,9000.0,0.6,Below Average,4050.0
"2011 V.W, Jetta 4 Doors, Automatic",4300,180251.0,0,https://www.craigslist.org/view/d/burnaby-2011-vw-jetta-doors-automatic/2tNQubbHXeuGu1H7quvi9h,excellent,gas,silver,rebuilt,automatic,sedan,4.0,fwd,Burnaby,,,2011.0,15.0,,,,,,,12016.7,0.8,Average,
