name,price,odometer,is_dealer,link,condition,fuel,paint color,title status,transmission,type,cylinders,drive,location,VIN,est. monthly pmt
2007 Mazda 6,3800,"209,787",0,https://www.craigslist.org/view/d/vancouver-2007-mazda/uaEvyi1AFwHyuiH8icZjtp,good,gas,silver,clean,automatic,sedan,6 cylinders,,Vancouver,,
2003 honda Cr-v 4cyl 4wd EX,3900,"128,000",0,https://www.craigslist.org/view/d/surrey-2003-honda-cr-4cyl-4wd-ex/gmLpwDrydHGhn8CbqTBeiN,,gas,,clean,automatic,SUV,,,Surrey,,
2008 GMC Acadia,5900,"152,000",0,https://www.craigslist.org/view/d/delta-east-2008-gmc-acadia/djdq1ZAS24r7ovZRNcKhsH,excellent,gas,,clean,automatic,SUV,,,Delta,,
Mazda 3 2014,5700,200,0,https://www.craigslist.org/view/d/burnaby-mazda/wceh4fU84WzQE6g6pkfpTP,,gas,,rebuilt,automatic,sedan,,,Burnaby,,
1988 Ford Mustang LX 5.0,20000,"87,000",0,https://www.craigslist.org/view/d/vancouver-1988-ford-mustang-lx-50/pd3Ry3WJuXnvT34UGwsyDn,excellent,gas,red,clean,automatic,convertible,8 cylinders,rwd,Vancouver,,
2020 Nissan NV200 SV No Accidents Low Km,17950,"78,388",0,https://www.craigslist.org/view/d/burnaby-2020-nissan-nv200-sv-no/vbjL2QaTtogkxCi7xWctfe,excellent,gas,white,clean,automatic,van,4 cylinders,fwd,Burnaby,,
1987 Volvo 240 Wagon,8000,"428,000",0,https://www.craigslist.org/view/d/delta-southeast-1987-volvo-240-wagon/aitG1ERtnE4dfQUXCPzxMa,excellent,gas,white,clean,manual,wagon,4 cylinders,rwd,Delta,,
Rare Lease Takeover: 2024 Hyundai Santa Fe Limited 7-seater - $0 down,715,"41,000",0,https://www.craigslist.org/view/d/north-vancouver-north-central-rare/tkKAKYfeQ7t2nUmSxphiWY,like new,gas,grey,clean,automatic,SUV,4 cylinders,4wd,North Vancouver,,
2008 Toyota Tacoma,13000,303,0,https://www.craigslist.org/view/d/abbotsford-2008-toyota-tacoma/9Yc6rja5HsfyJqb6B8MXo2,,gas,,clean,automatic,pickup,,,Abbotsford,,
DODGE CHALLENGER 2021,19950,"77,000",0,https://www.craigslist.org/view/d/burnaby-dodge-challenger-2021/pfETngJiEUsLoCDK7pcLJS,excellent,gas,black,rebuilt,automatic,coupe,6 cylinders,rwd,Burnaby,,
GMC ACADIA 2015,3950,"108,000",0,https://www.craigslist.org/view/d/burnaby-gmc-acadia-2015/qXBEE8XyuMksVzwd2W2E2k,good,gas,black,rebuilt,automatic,SUV,6 cylinders,4wd,Burnaby,,
SUBARU IMPREZZA 2017,9850,"95,000",0,https://www.craigslist.org/view/d/burnaby-subaru-imprezza-2017/3WAhUpftrAnZyUTznHvRXR,good,gas,white,rebuilt,automatic,hatchback,4 cylinders,4wd,Burnaby,,
TOYOTA COROLLA 2017,8950,"178,000",0,https://www.craigslist.org/view/d/burnaby-toyota-corolla-2017/uneX1AcBY5ZJWA4BUqD2Dz,good,gas,blue,clean,automatic,sedan,4 cylinders,fwd,Burnaby,,
"2007 Ford E350 15 Passenger Van ONLY 57,845kms",32800,"57,845",0,https://www.craigslist.org/view/d/richmond-2007-ford-passenger-van-only/c8nDNJY7vV9RbAZwRonPMo,like new,gas,grey,clean,automatic,van,8 cylinders,rwd,Richmond,,
TOYOTA COROLLA 2005,3950,"341,000",0,https://www.craigslist.org/view/d/burnaby-toyota-corolla-2005/mj4xvyqbTWoEydFYhZk2aC,good,gas,grey,clean,automatic,sedan,4 cylinders,fwd,Burnaby,,
2018 Honda Accord TOURING EDITION,13950,"171,000",0,https://www.craigslist.org/view/d/burnaby-2018-honda-accord-touring/anMFednxUHFAYfSymJ6Miv,excellent,gas,grey,rebuilt,automatic,sedan,4 cylinders,fwd,Burnaby,,
2011 Toyota Sienna LE ALL WHEELS DRIVE,9850,"124,000",0,https://www.craigslist.org/view/d/burnaby-2011-toyota-sienna-le-all/r3p1gbdFKy4q8fi9oQBQ7W,excellent,gas,grey,clean,automatic,minivan,6 cylinders,4wd,Burnaby,,
2006 Infiniti QX56 4x4 PERFECT CONDITION,5950,"260,000",0,https://www.craigslist.org/view/d/burnaby-2006-infiniti-qx56-4x4-perfect/qfuquArL5fRuFpALLK5ehJ,excellent,gas,white,clean,automatic,,8 cylinders,,Burnaby,,
"2025 Hyubdai Elantra 18,000 KMS ONLY PERFECT CONDITION",15950,"18,000",0,https://www.craigslist.org/view/d/burnaby-2025-hyubdai-elantra-kms-only/e1HDHzpNPFqxCSoYovZv92,excellent,gas,white,rebuilt,automatic,sedan,4 cylinders,fwd,Burnaby,,
2017 Ford Mustang 84k kms,14950,"84,000",0,https://www.craigslist.org/view/d/burnaby-2017-ford-mustang-84k-kms/kyB9mVCa9udhwUr6KswEe2,excellent,gas,black,rebuilt,automatic,coupe,6 cylinders,rwd,Burnaby,,
2009 Lexus ES350 PERFECT CONDITION,4950,"142,000",0,https://www.craigslist.org/view/d/burnaby-2009-lexus-es350-perfect/8fRbmJ6wxg6kpqiswuL2aq,excellent,gas,,clean,automatic,sedan,6 cylinders,fwd,Burnaby,,
2018 Honda Civic 177k kms,10950,"177,000",0,https://www.craigslist.org/view/d/burnaby-2018-honda-civic-177k-kms/wrk9ATeZ1nEeBjrTQyocnC,excellent,gas,blue,rebuilt,automatic,sedan,4 cylinders,fwd,Burnaby,,
"2022 Toyota Corolla LE 95,000 KMS   PERFECT PERFECT",14950,"95,000",0,https://www.craigslist.org/view/d/burnaby-2022-toyota-corolla-le-kms/2Njbv6iH4QrpZ8XEkMyQ4M,excellent,gas,blue,rebuilt,automatic,sedan,4 cylinders,fwd,Burnaby,,
2022 Toyota Corolla 84k kms,14950,"84,000",0,https://www.craigslist.org/view/d/burnaby-2022-toyota-corolla-84k-kms/e6yRV6A2J781dD1gFQ3xmw,excellent,gas,black,rebuilt,automatic,sedan,4 cylinders,fwd,Burnaby,,
2018 Kia Forte CLEAN TITLE,7950,"151,000",0,https://www.craigslist.org/view/d/burnaby-2018-kia-forte-clean-title/973goY95MNXUzcgBcQu7o1,excellent,gas,grey,clean,automatic,sedan,4 cylinders,fwd,Burnaby,,
2018 Toyota Camry XLE PERFECT CONDITION,12950,"203,000",0,https://www.craigslist.org/view/d/burnaby-2018-toyota-camry-xle-perfect/5c3LVRTvKEFWk1hv3cy21a,excellent,gas,white,rebuilt,automatic,sedan,6 cylinders,fwd,Burnaby,,
2017 Ford Mustang 141k kms PERFECT CONDITION,14950,"141,000",0,https://www.craigslist.org/view/d/burnaby-2017-ford-mustang-141k-kms/hk1FjRUfo8QLbvBMLsYbRp,excellent,gas,black,rebuilt,automatic,sedan,6 cylinders,fwd,Burnaby,,
"2014 Infiniti QX80 108,000 kms RUNS PERFECT",10950,"108,000",0,https://www.craigslist.org/view/d/burnaby-2014-infiniti-qx-kms-runs/iubU32KPiYGpQqvBF3wNxF,excellent,gas,silver,rebuilt,automatic,SUV,8 cylinders,4wd,Burnaby,,
"2011 V.W, Jetta 4 Doors, Automatic",4300,"180,251",0,https://www.craigslist.org/view/d/burnaby-2011-vw-jetta-doors-automatic/2tNQubbHXeuGu1H7quvi9h,excellent,gas,silver,rebuilt,automatic,sedan,4 cylinders,fwd,Burnaby,,
2012 Buick Enclave,5800,"212,000",0,https://www.craigslist.org/view/d/richmond-2012-buick-enclave/72cxo2e6kCtkewE14EyYx9,excellent,gas,red,clean,automatic,SUV,6 cylinders,,Richmond,,
2025 Toyota corolla cross LE awd 9k km,34900,"9,900",0,https://www.craigslist.org/view/d/richmond-2025-toyota-corolla-cross-le/uWxF9L93dt1eYSyioZJmQD,like new,gas,,clean,automatic,sedan,4 cylinders,4wd,Richmond,7MUCAABG0SV147452,
