name,price,location,link,condition,cylinders,drive,fuel,odometer,paint color,title status,transmission,type,VIN
2018 Audi A5 Sportback Technik S-Line,"$18,995",Surrey,https://www.craigslist.org/view/d/surrey-2018-audi-a5-sportback-technik/cwhQHCiWkfXErYfQ7udUic,,,,gas,"176,461",,clean,automatic,,
2008 Acura RDX - 1 OWNER,"$12,888",Surrey,https://www.craigslist.org/view/d/surrey-2008-acura-rdx-owner/odjjsDvAz72ptVTDbc79F8,,,,gas,"127,350",,clean,automatic,,
2016 Jaguar XJ R-Sport,"$25,995",Surrey,https://www.craigslist.org/view/d/surrey-2016-jaguar-xj-sport/2Twx4zJx6KtAT9V2GGG9Nd,,,,gas,"56,740",,clean,automatic,,
2014 BMW X3 xDrive28i,"$12,995",Richmond,https://www.craigslist.org/view/d/richmond-2014-bmw-x3-xdrive28i/hkgERqxUJ9x2P76EGzEMBr,,,,gas,"110,200",,clean,automatic,,
2019 Nissan Qashqai SV AWD,"$10,995",Surrey,https://www.craigslist.org/view/d/surrey-2019-nissan-qashqai-sv-awd/no16H4rpt3q6f7PHaEzcfY,,,,gas,"167,304",,clean,automatic,,
2006 Honda Civic,"$9,995",Surrey,https://www.craigslist.org/view/d/surrey-2006-honda-civic/d2oWCU7mpGGqK97q64aihy,,,,gas,"134,183",,clean,automatic,,
2011 Volkswagen Tiguan SEL 4-motion,"$8,495",Richmond,https://www.craigslist.org/view/d/richmond-2011-volkswagen-tiguan-sel/sq89YQEpcJTeAJPYNzGA4G,,,,gas,"155,753",,clean,automatic,,
2013 Ford Escape SE AWD,"$9,988",Surrey,https://www.craigslist.org/view/d/richmond-2013-ford-escape-se-awd/fpe8A33xZKR575kec5YS1E,,,,gas,"173,017",,clean,automatic,SUV,
2009 Ford Escape V6 AWD,"$8,995",Richmond,https://www.craigslist.org/view/d/richmond-2009-ford-escape-v6-awd/3PG28CxKxqxErDuMEGnPBQ,,,,gas,"184,968",,clean,automatic,SUV,
2016 Kia Sedona (No accidents),"$11,995",Richmond,https://www.craigslist.org/view/d/richmond-2016-kia-sedona-no-accidents/sKrASuvQyRjwrnSBqjjQno,,,,gas,"154,015",,clean,automatic,minivan,
2016 Mazda CX-9 GT AWD,"$19,995",Surrey,https://www.craigslist.org/view/d/richmond-2016-mazda-cx-gt-awd/uLXuxB18eUCwRpg7svewHT,,,,gas,"120,454",,clean,automatic,,
"""2009 Chevrolet Aveo – Well Maintained | Service Records Available","$3,600","Vancouver, BC",https://www.craigslist.org/view/d/west-vancouver-2009-chevrolet-aveo-well/okdgngjh1jsFZFa5jXAfvj,like new,4 cylinders,fwd,gas,"155,954",grey,clean,automatic,sedan,
2008 subaru legecy,"$6,500",Coquitlam,https://www.craigslist.org/view/d/port-coquitlam-central-2008-subaru/nUMn85xXio7TzVXARu1cjt,excellent,4 cylinders,4wd,gas,"165,000",brown,clean,automatic,sedan,
"1999 Toyota 4runner SR5 Rarity, 57,400 kms","$34,000",city of vancouver,https://www.craigslist.org/view/d/vancouver-1999-toyota-4runner-sr5/rNvxnwgpY3XBDNU3tAJFeL,,,,gas,"57,400",,clean,automatic,SUV,
2022 Ford Explorer Platinum w/ rooftop cargo carrier,"$43,900",Port Coquitlam,https://www.craigslist.org/view/d/port-coquitlam-2022-ford-explorer/rjEuQiuP1FSEa4LmBufdnp,excellent,6 cylinders,4wd,gas,"53,080",grey,clean,automatic,SUV,
Mini Paceman S,"$8,900",city of vancouver,https://www.craigslist.org/view/d/vancouver-mini-paceman/9m6cB2wVMEomUMmjuUQ6bk,,,,gas,"119,000",,clean,manual,,
1972 chevrolet c10,"$19,999",chilliwack,https://www.craigslist.org/view/d/chilliwack-central-1972-chevrolet-c10/fe99hMeHkhYBrrgqb6KXUv,,,,gas,123,,clean,automatic,,
2008 Chrysler Aspen Limited 4X4 HEMI -  7 Seater,"$3,500",Delta BC,https://www.craigslist.org/view/d/delta-east-2008-chrysler-aspen-limited/xsHTy3zDSbA2SiaZvjkT6u,good,8 cylinders,4wd,gas,"296,000",grey,clean,automatic,SUV,
2002 Mercedes SLK320,"$8,000",North Burnaby,https://www.craigslist.org/view/d/burnaby-2002-mercedes-slk320/i9XkhRF345PqN9eXpCzANk,excellent,6 cylinders,rwd,gas,"98,000",silver,clean,automatic,convertible,WDBKK65F32F262497
1998 Mercedes SLK230,"$8,000",North Burnaby,https://www.craigslist.org/view/d/burnaby-1998-mercedes-slk230/w3HVNDxcjmi8bzSQzYYRSX,excellent,4 cylinders,rwd,gas,"64,000",silver,clean,automatic,sedan,WDB1704471F101790
2018 Honda Civic Touring - Clean Title,"$18,800",Surrey,https://www.craigslist.org/view/d/surrey-2018-honda-civic-touring-clean/cKyd5JUdLJwwuKkjQwUpqY,excellent,4 cylinders,fwd,gas,"89,000",black,clean,automatic,sedan,
2013 Kia Rio - One Owner,"$5,950",Surrey,https://www.craigslist.org/view/d/surrey-2013-kia-rio-one-owner/pA49iCPBbPcgGgndcoynBm,excellent,4 cylinders,fwd,gas,"129,000",grey,clean,automatic,sedan,
2013 Hyundai Veloster  LOADED OPTIONS REARVIEW CAMERA,"$6,500",coquitlam bc,https://www.craigslist.org/view/d/coquitlam-2013-hyundai-veloster-loaded/4pW4vWijJnYAafhVmQNTo9,like new,4 cylinders,fwd,gas,"90,000",orange,rebuilt,automatic,coupe,
HONDA CIVIC 2007 STICK SHIFT,"$1,400",North vancouver,https://www.craigslist.org/view/d/north-vancouver-honda-civic-2007-stick/etaYuF6ryjnTJ1pQ6FR64m,good,4 cylinders,4wd,gas,"289,000",silver,clean,manual,sedan,
Mercedes benz ml 350 4x4 bluetech 21 inch amg wheels,"$6,750",Vancouver,https://www.craigslist.org/view/d/vancouver-mercedes-benz-ml-350-4x4/kGtBaxEnDkkMTfvfAQh2y9,like new,6 cylinders,4wd,diesel,"250,000",black,clean,automatic,sedan,
2026 Nissan Kicks SV FWD,"$29,140",north shore,https://www.craigslist.org/view/d/north-vancouver-southwest-2026-nissan/2ktrvFFvBs9z6zfZ1WK523,new,4 cylinders,fwd,gas,20,white,clean,automatic,SUV,
2025 Nissan Rogue AWD SL,"$34,183",north shore,https://www.craigslist.org/view/d/north-vancouver-southwest-2025-nissan/vsHDWDbbrFPTYvwNrcscey,like new,3 cylinders,4wd,gas,"7,116",white,clean,automatic,SUV,
